꼬츄	NNP 
씨벌년	NNP 
죵나	NNP 
쉑쓰	NNP 
자지짤라	NNP 
10창	NNP 
세애액스	NNP 
쒸팔	NNP 
주글래	NNP 
놈현	NNP 
pussy	NNP 
찐찌버거	NNP 
생쑈	NNP 
개뿔	NNP 
개같은년	NNP 
씨방새	NNP 
내잠지	NNP 
뽕알	NNP 
18세리	NNP 
ㄱㅐㅈㅏ	NNP 
자지쑤셔	NNP 
씨이팔	NNP 
녜미	NNP 
개넌	NNP 
빠가씹새	NNP 
쓰풀	NNP 
씁얼	NNP 
띠풀	NNP 
씹빠	NNP 
씹년	NNP 
bozi	NNP 
개가튼뇬	NNP 
젖마난	NNP 
시팍새끼	NNP 
ㅆ1바	NNP 
조낸	NNP 
쉬팔	NNP 
씝년	NNP 
젓마무리	NNP 
별창	NNP 
육갑떨다	NNP 
항문쑤셔	NNP 
처먹을	NNP 
ㄴㅣㄱㅣ	NNP 
헐렁보지	NNP 
버따리자지	NNP 
수셔	NNP 
자지빨어	NNP 
임마	NNP 
색기	NNP 
썡쇼	NNP 
정신병자	NNP 
십쉐	NNP 
씌바	NNP 
씨발병신	NNP 
18섹	NNP 
시랄	NNP 
캐놈	NNP 
좃물냄새	NNP 
좆만한놈	NNP 
씨부랄	NNP 
씌빨	NNP 
존니	NNP 
색키	NNP 
죠까	NNP 
씹탱	NNP 
게늠	NNP 
쉨	NNP 
쑤셔	NNP 
니애비	NNP 
썅뇬	NNP 
꺼벙이	NNP 
상넘이	NNP 
ㅆㅍ	NNP 
막간년	NNP 
주글	NNP 
미틴놈	NNP 
애비충	NNP 
돌은놈	NNP 
저새끼	NNP 
내자지	NNP 
슈바	NNP 
게새끼	NNP 
내꺼핧아	NNP 
10새기	NNP 
10스	NNP 
시밸	NNP 
18노	NNP 
정자핧아	NNP 
개보지	NNP 
개독	NNP 
띠바	NNP 
뷩쉰	NNP 
쎾	NNP 
근첩	NNP 
렉카충	NNP 
시빨	NNP 
쌍보지	NNP 
로리콘	NNP 
씹쌔꺄	NNP 
씨퐁자지	NNP 
세끠	NNP 
잡놈	NNP 
개고치	NNP 
가슴핧아	NNP 
꼰대	NNP 
쉬이불	NNP 
좃부랄	NNP 
버지썰어	NNP 
무뇌	NNP 
싶알	NNP 
쓰이벌	NNP 
보쥐	NNP 
닌기미	NNP 
씨박	NNP 
조개쑤셔줘	NNP 
애비 뒤진 년 	NNP 
개똥	NNP 
쎅쓰	NNP 
조까	NNP 
헐보	NNP 
오라질년	NNP 
씹새기	NNP 
뙤놈	NNP 
섹스	NNP 
ㅆ1발	NNP 
ㄲㅈ	NNP 
니미롤	NNP 
씨발	NNP 
애좌	NNP 
씨키	NNP 
젖나게	NNP 
남창	NNP 
개늠	NNP 
쇡끼	NNP 
튀기	NNP 
모자라다	NNP 
쉬발	NNP 
개씁자지	NNP 
lesbien	NNP 
개자슥	NNP 
젓냄새	NNP 
애자	NNP 
뱅신	NNP 
미틴넘	NNP 
젓물냄새	NNP 
항문수셔	NNP 
까댄	NNP 
니M창	NNP 
ㅆ│발	NNP 
파쇼	NNP 
보지	NNP 
미틴	NNP 
껃져	NNP 
쌔끼	NNP 
비틱	NNP 
바랄년	NNP 
빠가십새	NNP 
양년	NNP 
sibal	NNP 
씨팍세끼	NNP 
공지	NNP 
니미룰	NNP 
씹팔	NNP 
빙시	NNP 
젓까	NNP 
이스키	NNP 
씨븡새끼	NNP 
씌방	NNP 
아갈이	NNP 
개쇳기	NNP 
싀봉	NNP 
ㅁ1친	NNP 
좃만한것	NNP 
좀물	NNP 
뽀지	NNP 
쓰부	NNP 
보짓물	NNP 
죽통	NNP 
게세끼	NNP 
꼬붕	NNP 
개쐑	NNP 
출처:http://maple.inven.co.kr	NNP 
개같은	NNP 
여물통	NNP 
쇠똥구리	NNP 
색귀	NNP 
좃물	NNP 
jazi	NNP 
개십새끼	NNP 
왕버지	NNP 
꽂츄	NNP 
고추	NNP 
젝일	NNP 
사까아시이	NNP 
g랄	NNP 
쥐럴	NNP 
미친뇬	NNP 
ㅅㅔㄲ	NNP 
상놈의	NNP 
돈새끼	NNP 
금붕어	NNP 
gay	NNP 
껃여	NNP 
잡종	NNP 
쪼까튼	NNP 
ㄴㅣㅁㅣ	NNP 
씹새끼	NNP 
족같내	NNP 
개젓가튼넘	NNP 
쉬불	NNP 
큰보지	NNP 
젖빠지게	NNP 
쒞	NNP 
미친개	NNP 
제기롤	NNP 
오랑캐	NNP 
닥쵸	NNP 
좃빠지게	NNP 
거시기	NNP 
전나	NNP 
니미랄	NNP 
아갈	NNP 
섹쓰	NNP 
눈깔어	NNP 
씨봉알	NNP 
십새끼	NNP 
쉬이방	NNP 
시바	NNP 
G스팟	NNP 
죷	NNP 
니에미	NNP 
씹넘	NNP 
개소리	NNP 
돌은새끼	NNP 
천치	NNP 
쌍욕	NNP 
죶나	NNP 
띠벨	NNP 
잠쥐	NNP 
딩시	NNP 
10쉐이	NNP 
ㅇㅐ자	NNP 
경을 칠 놈	NNP 
씨부리	NNP 
젓만한	NNP 
니뮈럴	NNP 
죨라	NNP 
미췐년	NNP 
ㅅH끼	NNP 
씨이붕	NNP 
병싄	NNP 
쒸불	NNP 
오유충	NNP 
양반	NNP 
망나니	NNP 
십쌔	NNP 
좆새끼	NNP 
ㅆ1팔	NNP 
지랄	NNP 
눈까러	NNP 
죽을래	NNP 
씨방세	NNP 
에비	NNP 
ㅁㅣ친	NNP 
쎄엑	NNP 
개대중	NNP 
개후라들놈	NNP 
시발	NNP 
씨이벌	NNP 
버지쑤셔	NNP 
짜아식	NNP 
유방핧아	NNP 
잠짓물마셔	NNP 
아구통	NNP 
십8	NNP 
우미쑤셔	NNP 
썩을년	NNP 
시댕	NNP 
ㄴlㅁl	NNP 
씹지랄	NNP 
조개핧아줘	NNP 
다방년	NNP 
쓰불	NNP 
철면피	NNP 
게지랄놈	NNP 
쳐먹고	NNP 
가슴빨어	NNP 
씨뱅가리	NNP 
쒸이발	NNP 
개걸레	NNP 
개부랄	NNP 
개씁년	NNP 
씹뽀지	NNP 
ㄴ1ㅇㅐ	NNP 
좆나	NNP 
말하는 가축	NNP 
씨팔	NNP 
허벌보지	NNP 
쉑갸	NNP 
좃만	NNP 
자지빨아	NNP 
쉬부	NNP 
개섹	NNP 
번쌕	NNP 
좆같	NNP 
후레년	NNP 
개새키	NNP 
뮈친	NNP 
씨`발	NNP 
졸라게	NNP 
성폭행	NNP 
새대가리	NNP 
jaji	NNP 
추녀	NNP 
한녀	NNP 
돌았다	NNP 
고자	NNP 
육갑하다	NNP 
쉽세	NNP 
에라이	NNP 
운지	NNP 
개련	NNP 
쌔리	NNP 
좃깟네	NNP 
빨갱이	NNP 
닝기리	NNP 
니뽕	NNP 
조까튼	NNP 
이프리트	NNP 
재수가 없다	NNP 
논다니	NNP 
쉬이빨	NNP 
싀팔	NNP 
쪽바리	NNP 
씨입뇬	NNP 
시이불	NNP 
쩌리	NNP 
자지구녕	NNP 
oral	NNP 
따까리	NNP 
씨엑스	NNP 
개세	NNP 
한녀충	NNP 
미친구멍	NNP 
개샛끼	NNP 
샹늠	NNP 
새에액스	NNP 
미친구녕	NNP 
씝알	NNP 
주접떨	NNP 
색쓰	NNP 
아가리	NNP 
씨밝	NNP 
띠빌	NNP 
씹덕	NNP 
세갸	NNP 
공지사항	NNP 
주접	NNP 
개`	NNP 
쉬벌	NNP 
똥	NNP 
일베충	NNP 
죽고잡	NNP 
ㄲㅣ	NNP 
난자먹어	NNP 
씨붕	NNP 
조개넓은년	NNP 
지미랄	NNP 
보짓물마셔	NNP 
개색꺄	NNP 
개너미	NNP 
쟈지	NNP 
개세끼	NNP 
네 다음 XX	NNP 
쉬이팔	NNP 
졸라	NNP 
왕자지	NNP 
지랼	NNP 
니미	NNP 
ㄴ1미	NNP 
ㄴㄷㅆ	NNP 
똥개	NNP 
게색끼	NNP 
닭쳐	NNP 
ㅍㅏ	NNP 
존마난	NNP 
좃빠구리	NNP 
찌질이	NNP 
김치녀	NNP 
씨뽀랄	NNP 
ㅃr굴	NNP 
개때끼	NNP 
쓰빡	NNP 
쌍넌	NNP 
씹같	NNP 
개좆	NNP 
니미럴	NNP 
쑤시자	NNP 
허벌년	NNP 
꼴통	NNP 
ㅅㅐㄲㅣ	NNP 
조진다	NNP 
시이붕	NNP 
쒸뻘	NNP 
개씁블	NNP 
쳐닥	NNP 
좇이	NNP 
꼽다	NNP 
^^ㅣ발	NNP 
씹퇭	NNP 
백보지	NNP 
유방주물럭	NNP 
캐시키	NNP 
주뎅이	NNP 
damn	NNP 
부럴	NNP 
삿갓이	NNP 
셥새	NNP 
흐졉	NNP 
버지뜨더	NNP 
이년	NNP 
샥스	NNP 
suck	NNP 
10탱	NNP 
18새	NNP 
죶마난	NNP 
지뢀	NNP 
머저리	NNP 
붕신	NNP 
싀발	NNP 
등신	NNP 
땡중	NNP 
광년이	NNP 
호좁	NNP 
동생강간	NNP 
쓰붕	NNP 
쉐에기	NNP 
띠팔	NNP 
시키	NNP 
버지뚫어	NNP 
쌔기	NNP 
작은보지	NNP 
개싑창	NNP 
뎡신	NNP 
미친눔	NNP 
씨발 	NNP 
애쟈	NNP 
씨빠	NNP 
죶같은	NNP 
썅	NNP 
거렁뱅이	NNP 
육변기	NNP 
ㅅㅂㄹㅁ	NNP 
세끼	NNP 
십부랄	NNP 
쒸방	NNP 
빨통	NNP 
시팔새끼	NNP 
짜식	NNP 
개자식	NNP 
18럼	NNP 
ㄱㅐㅅㅐㄲl	NNP 
시발놈	NNP 
anal	NNP 
ㄴ1ㄱ1	NNP 
18쉑	NNP 
꼳츄	NNP 
봉알	NNP 
씹브랄	NNP 
ㅗ	NNP 
지럴	NNP 
쉑스	NNP 
아갈통	NNP 
뷩신	NNP 
폰섹	NNP 
허벌자지	NNP 
사이코	NNP 
빠구리	NNP 
씨이불	NNP 
쎄꺄	NNP 
죶빠지게	NNP 
쉬풀	NNP 
돌아이	NNP 
닭대가리	NNP 
디진다	NNP 
조빱	NNP 
조또	NNP 
씹미랄	NNP 
ㅈㄴ	NNP 
촹년	NNP 
씹부랄	NNP 
18넘	NNP 
섹키	NNP 
씹세	NNP 
좇	NNP 
좇같	NNP 
왜년	NNP 
양놈	NNP 
씨가랭넘	NNP 
십탱구리	NNP 
si발	NNP 
뵹싄	NNP 
띨띨이	NNP 
쌰럽	NNP 
좁밥	NNP 
스발	NNP 
bitch	NNP 
ㅆl팔	NNP 
앰창	NNP 
허덥	NNP 
자지뜨더	NNP 
개쓰래기	NNP 
개놈	NNP 
조센징	NNP 
시부럴	NNP 
젓나	NNP 
족까내	NNP 
뮈췬	NNP 
병시	NNP 
잼민이	NNP 
좆만한새끼	NNP 
10새리	NNP 
꼬추	NNP 
시파	NNP 
정액마셔	NNP 
쫓까	NNP 
자지핧어	NNP 
씹색꺄	NNP 
꼬걸	NNP 
씹빡	NNP 
쇄끼	NNP 
좆까라	NNP 
유방쪼물딱	NNP 
지ral	NNP 
씨댕	NNP 
정박아	NNP 
화냥년	NNP 
십세	NNP 
공알	NNP 
퍽큐	NNP 
씻팔	NNP 
쒸빡	NNP 
지롤	NNP 
좃간년	NNP 
개같네	NNP 
젖밥	NNP 
쏐	NNP 
멜리스	NNP 
좃만이	NNP 
ㅆ앙	NNP 
캐년	NNP 
씌밸	NNP 
좃까리	NNP 
클리토리스	NNP 
어미쑤시자	NNP 
씨뎅	NNP 
시발년	NNP 
등쉬	NNP 
캐스키	NNP 
후라덜	NNP 
씹자슥	NNP 
10쉑	NNP 
십장생	NNP 
좆밥	NNP 
버지물마셔	NNP 
씨방	NNP 
자지정개	NNP 
시벵	NNP 
좃넘	NNP 
쓰으방	NNP 
새새끼	NNP 
미치광이	NNP 
니 XX	NNP 
젓물	NNP 
옘병	NNP 
씨펄	NNP 
니아범	NNP 
쌍뇬	NNP 
애미자지	NNP 
호로자슥	NNP 
후장꽂아	NNP 
불알	NNP 
깔어	NNP 
개쓰렉기	NNP 
시팍	NNP 
니OH미	NNP 
심발끈	NNP 
좃만한	NNP 
제기랄	NNP 
씨파넘	NNP 
정자먹어	NNP 
썩을	NNP 
호로자식애	NNP 
걔시끼	NNP 
c팔	NNP 
정자마셔	NNP 
멧돼지	NNP 
늬미	NNP 
미친쉐이	NNP 
좁년	NNP 
버지털	NNP 
개쉐리	NNP 
염병	NNP 
애비	NNP 
버지벌료	NNP 
차앙년	NNP 
18아	NNP 
시이바	NNP 
후빨	NNP 
개붕알	NNP 
새뀌	NNP 
새끠	NNP 
개허접	NNP 
씹탱이	NNP 
니엠	NNP 
씹창	NNP 
돼지	NNP 
쉬붕	NNP 
18뇬	NNP 
스벌	NNP 
걸레	NNP 
제기럴	NNP 
죤니	NNP 
새키	NNP 
허좁	NNP 
좃마난	NNP 
개랄	NNP 
싹아지	NNP 
좃만아	NNP 
니아베	NNP 
허접쓰레기	NNP 
쉽뇬	NNP 
썅년	NNP 
씨부렁	NNP 
젖가튼	NNP 
정액짜	NNP 
씹덕후	NNP 
후라들	NNP 
미췬놈	NNP 
좀쓰레기	NNP 
조질래	NNP 
좃이	NNP 
세꺄	NNP 
싸가지	NNP 
씌발	NNP 
씨블	NNP 
시벨	NNP 
미제	NNP 
떠라이	NNP 
쒸벨	NNP 
섀끼	NNP 
세캬	NNP 
한남	NNP 
십라	NNP 
촌놈	NNP 
듕신	NNP 
탱구	NNP 
씹헐	NNP 
시이밸	NNP 
개색끼	NNP 
쉬밸	NNP 
젓같은	NNP 
개쇄	NNP 
쓉년	NNP 
씌벨	NNP 
젖나	NNP 
빡유	NNP 
젖까	NNP 
레기	NNP 
싯팔	NNP 
늬귀미	NNP 
빠굴이	NNP 
곶휴	NNP 
보슬	NNP 
너 같은 새끼는 뻑큐가 최고야	NNP 
10새	NNP 
벼엉신	NNP 
뙨놈	NNP 
좃털	NNP 
메갈리아	NNP 
쉽년	NNP 
걔썌	NNP 
어저미	NNP 
니기미	NNP 
ㅅㅐ	NNP 
썅넌	NNP 
똘츄	NNP 
상폐놈	NNP 
시궁창	NNP 
잡넘	NNP 
왕털버지	NNP 
사까시	NNP 
씹자석	NNP 
세키	NNP 
쉐	NNP 
좆가튼	NNP 
꼳휴	NNP 
씹풀	NNP 
딸딸이	NNP 
쓰팔	NNP 
김치짓	NNP 
개씨발	NNP 
쉬뻘	NNP 
시붕	NNP 
열폭	NNP 
미친새끼	NNP 
빠굴	NNP 
개쉑	NNP 
씹할	NNP 
쉽쌔	NNP 
덜은새끼	NNP 
boji	NNP 
버지빨어	NNP 
씹쉐	NNP 
씌파	NNP 
상폐년등	NNP 
절라	NNP 
에미	NNP 
누나강간	NNP 
절라게	NNP 
자지뜯어	NNP 
아갈빡	NNP 
유방만져	NNP 
부랄	NNP 
전나게	NNP 
쉬박	NNP 
꼬우냐	NNP 
쉬이발	NNP 
쌕	NNP 
tlqkf	NNP 
그새끼	NNP 
연병	NNP 
상놈이	NNP 
붙어먹	NNP 
씹발	NNP 
섹스해	NNP 
ㅅ1팔	NNP 
좃까	NNP 
꼬라보다	NNP 
뷩딱	NNP 
죶가튼	NNP 
쓰팍	NNP 
뉘미	NNP 
개색기	NNP 
18롬	NNP 
그지깽깽이	NNP 
fuckyou	NNP 
시이발	NNP 
정액	NNP 
애비자지	NNP 
저능아	NNP 
페니스	NNP 
미친스까이	NNP 
십떼끼	NNP 
씨벵	NNP 
뒈져	NNP 
개색	NNP 
뙈놈	NNP 
니귀미	NNP 
챵뇬	NNP 
씹땡	NNP 
ㅆㅂㄹㅁ	NNP 
찌랄	NNP 
젓같내	NNP 
걸레핀년	NNP 
씹쒜	NNP 
쓰펄	NNP 
띠발뇬	NNP 
주둥아리	NNP 
ㅂㅅ	NNP 
뒈져라	NNP 
조빠지게	NNP 
띠불	NNP 
뻑큐	NNP 
메친놈	NNP 
니할애비	NNP 
삼성빠돌이	NNP 
개접	NNP 
난자핧아	NNP 
ㅆㅂ	NNP 
허젚	NNP 
가슴핧어	NNP 
간나	NNP 
애미씨뱅	NNP 
쌕스	NNP 
개스끼	NNP 
자지박어	NNP 
애미잡년	NNP 
박쥐짓	NNP 
fuk	NNP 
미췬뇬	NNP 
창녀버지	NNP 
ㅃㅏ구리	NNP 
개돼중	NNP 
개차반	NNP 
되질래	NNP 
언년이	NNP 
쒸이불	NNP 
씨8	NNP 
십세이	NNP 
쓰밸	NNP 
씹쌔	NNP 
쉬키	NNP 
씨벌	NNP 
뚜쟁	NNP 
썩을놈	NNP 
ㅈl랄	NNP 
꼬봉	NNP 
개씨블	NNP 
광뇬	NNP 
허벌자식	NNP 
성노예	NNP 
시bal	NNP 
내꺼빨아	NNP 
씹창녀	NNP 
조지냐	NNP 
씨불알	NNP 
싀방	NNP 
개쌔끼	NNP 
십탱	NNP 
쉬탱	NNP 
디져라	NNP 
대가리	NNP 
쉬이풀	NNP 
좃나게	NNP 
ㅆ1벨	NNP 
씹질	NNP 
씌팔	NNP 
깨쌔끼	NNP 
시밬	NNP 
꼴불견	NNP 
미친	NNP 
dildo	NNP 
띨빵	NNP 
촌씨브라리	NNP 
허졉	NNP 
질싸	NNP 
ass	NNP 
씨가랭년	NNP 
미친넘	NNP 
유두핧어	NNP 
니주가리	NNP 
허접	NNP 
보'지	NNP 
한남충	NNP 
지기미	NNP 
곶츄	NNP 
쌍쌍보지	NNP 
젓대가리	NNP 
잠지털	NNP 
처먹고	NNP 
씨끼	NNP 
씨바	NNP 
섹'스	NNP 
죡쳐	NNP 
조개속물	NNP 
개구라	NNP 
자기핧아	NNP 
쪼다새끼	NNP 
폐녀자	NNP 
촌씨브랑이	NNP 
쓰박	NNP 
가슴조물락	NNP 
저까튼	NNP 
주데이	NNP 
10쌔기	NNP 
자지구멍	NNP 
정액발사	NNP 
색휘	NNP 
아닥	NNP 
고츄	NNP 
미친넌	NNP 
씨뱅	NNP 
얼간이	NNP 
애미좃물	NNP 
빌어먹을	NNP 
ㅆㅣ벌	NNP 
개샛히애	NNP 
쪼다	NNP 
삼엽충	NNP 
c발	NNP 
뷰웅	NNP 
좆또	NNP 
잠지	NNP 
내버지	NNP 
주뎅	NNP 
젠장	NNP 
잠지뚫어	NNP 
대갈	NNP 
가슴빨아	NNP 
빠가	NNP 
씹새	NNP 
좃가튼,	NNP 
덜떨어지다	NNP 
젱장	NNP 
개가튼년	NNP 
벌창같은년	NNP 
씁알	NNP 
죤나	NNP 
빙띤	NNP 
똘아이	NNP 
십지랄	NNP 
씨퐁넘	NNP 
씨팰	NNP 
자지	NNP 
좀마니	NNP 
상년	NNP 
젖같은	NNP 
개십새기	NNP 
후뢰	NNP 
니뿡	NNP 
개떵	NNP 
똥꾸뇽	NNP 
맘충	NNP 
죳	NNP 
씹때꺄	NNP 
씸뇬	NNP 
챵년	NNP 
개부달	NNP 
뱅싄	NNP 
좆년	NNP 
노옴	NNP 
쎅스	NNP 
니어매	NNP 
쟘쥐	NNP 
흐젚	NNP 
새'끼	NNP 
저까	NNP 
뮈친년	NNP 
凸	NNP 
쒸발	NNP 
새캬	NNP 
좋만	NNP 
자슥	NNP 
개후라년	NNP 
닝기미	NNP 
좆마난	NNP 
정액먹어	NNP 
마스터	NNP 
니씨브랄	NNP 
엿같	NNP 
bastard	NNP 
빡대가리	NNP 
젖	NNP 
시이벌	NNP 
니앰	NNP 
쒸펄	NNP 
제기룰	NNP 
젓가튼쉐이	NNP 
시이빡	NNP 
ㅅ1발	NNP 
심탱	NNP 
쓉새	NNP 
걔새	NNP 
씨방짭새	NNP 
sipal	NNP 
바보	NNP 
쎄엑스	NNP 
ㅇㅐㅈㅏ	NNP 
개쉬끼	NNP 
개쉐이	NNP 
욤병	NNP 
뷩시	NNP 
바부	NNP 
촌씨브랭이	NNP 
개돼지	NNP 
fetish	NNP 
쉐리	NNP 
미췬	NNP 
ㅈ1랄	NNP 
개라슥	NNP 
엠창	NNP 
버지구녕	NNP 
써벌	NNP 
씨빨	NNP 
개새꺄	NNP 
좋만한것	NNP 
얌마	NNP 
같은뇬	NNP 
개자지	NNP 
씨바랄	NNP 
개뇬	NNP 
개같은뇬	NNP 
샹놈	NNP 
띠밸	NNP 
서버	NNP 
씹이	NNP 
18놈	NNP 
미틴것	NNP 
상놈을	NNP 
zot	NNP 
십팔새끼	NNP 
좆만아	NNP 
porno	NNP 
ㅆㅣ팔	NNP 
또라이	NNP 
도라이	NNP 
